text,label
I love this movie!,1
What a great experience, absolutely wonderful.,1
The product works as expected.,1
I enjoyed the performance a lot.,1
This is fantastic.,1
Horrible waste of time.,0
I hated every minute.,0
Terrible acting and story.,0
It was disappointing.,0
Not worth the money.,0
Really liked it.,1
So good!,1
Pretty decent overall.,1
Amazing and touching.,1
It made me smile.,1
Awful and boring.,0
Worst thing I've seen.,0
I won't recommend it.,0
Very bad execution.,0
Painful to watch.,0
